ground_name,preferred_style,Source
Chennai,SPIN,Classic spin paradise with sharp turn and slow pace
Hyderabad,BAL,Balanced pitch with some early swing and later spin
Rajkot,BAT,"Flat surface, high-scoring ODI/T20 venue"
Mirpur,SPIN,Extreme spin dominance with low bounce
Indore,BAT,Batting paradise with 300+ ODI scores common
Mohali,PACE,"Early swing/seam movement, favors pacers"
Centurion,PACE,Pace-friendly surface with bounce and lateral movement
The Oval,BAL,"Balanced: early swing for pacers, later batting ease"
Potchefstroom,BAT,"Small boundaries, batting-friendly (SA domestic trends)"
Southampton,BAL,"Balanced with some swing early, good for spinners later"
Bloemfontein,BAT,High-scoring ground with short boundaries
Cardiff,BAL,"Balanced pitch with swing/seam early, batting-friendly later"
Multan,SPIN,Dry surface favoring spinners (PSL trends)
Hambantota,SPIN,"Slow, turning tracks with low bounce"
Tarouba,BAT,Caribbean T20 template favors batting
Chelmsford,BAL,Balanced English county pitch
Rawalpindi,PACE,High-scoring venue with flat pitches (Pakistani batting haven)
Benoni,BAT,"Small boundaries, batting-friendly (SA domestic trends)"
Sylhet,BAL,Balanced pitch with slight spin bias (Bangladeshi conditions)
Visakhapatnam,BAL,Coastal pitch with early swing and later batting ease
East London,BAT,"Short boundaries, batting-friendly (SA domestic trends)"
Kimberley,BAT,"Record-high scores, extreme batting paradise"
Raipur,BAT,"Flat surface, high-scoring T20/ODI template"
Thiruvananthapuram,BAL,Balanced pitch with some seam movement
Guwahati,BAT,"Short boundaries, batting-friendly (IPL high-score trends)"
Christchurch,PACE,Pace-friendly with bounce/swing (NZ Test venue)
Ranchi,SPIN,"Slow, low-bounce surface favoring spinners"
Cairns,BAL,Balanced pitch with variable bounce (tropical conditions)
Townsville,PACE,Pace-friendly with extra bounce (Australian regional trend)
Rotterdam,BAL,Balanced European pitch with some seam movement
Edinburgh,BAL,"Scottish conditions: swing early, batting later"
Port of Spain,SPIN,"Slow, dry surface favoring spinners (Caribbean spin haven)"
Manchester,BAL,"Balanced: early swing for pacers, later batting ease"
Providence,SPIN,Extreme spin dominance (Caribbean slow tracks)
Dublin (Malahide),PACE,Seam-friendly conditions (Irish weather trends)
Amstelveen,BAL,Balanced Dutch pitch with moderate seam movement
Mount Maunganui,BAL,Balanced NZ pitch with slight pace bias
Doha,SPIN,Dry Middle Eastern surface favoring spinners
Birmingham,BAL,"Early swing for pacers, later batting-friendly"
Durban,PACE,Bounce/swing-friendly South African pitch
Taunton,BAT,High-scoring English county ground
Belfast,BAL,Neutral Irish pitch with mild seam movement
Dublin,BAL,Balanced but slightly seam-friendly (Irish conditions)
Dubai (DICS),SPIN,"Slow, low-bounce UAE track favoring spinners"
Dehradun,BAT,Flat Indian pitch with small boundaries
Gros Islet,SPIN,Caribbean slow track with sharp turn
St George's,BAL,Balanced West Indies pitch (Grenada)
Hobart,PACE,Pace-friendly Australian pitch with bounce
Brabourne,BAT,Batting-friendly Mumbai stadium
Brisbane,PACE,Legendary pace/bounce surface
Whangarei,BAL,Balanced NZ pitch with mild swing
Kanpur,SPIN,Classic Indian dustbowl favoring spinners
Kingston,PACE,Caribbean pace paradise with steep bounce
Colombo (SSC),BAT,Batting-friendly Sri Lankan pitch (vs. spin-heavy RPS)
Greater Noida,SPIN,"Slow, low-bounce Indian track"
W.A.C.A,PACE,Historic Perth pace paradise (now Optus Stadium)
