Credits,Player Type,Player Name,Team,Original name,Bowling Style
6.5,BOWL,Jacob Duffy,NZ,JA Duffy,Pace
9,BAT,Kane Williamson,NZ,KS Williamson,
7.5,BOWL,Lockie Ferguson,NZ,LH Ferguson,Pace
6.5,BAT,Mark Chapman,NZ,MS Chapman,
8.5,BOWL,Matt Henry,NZ,MJ Henry,Pace
7.5,ALL,Michael Bracewell,NZ,MG Bracewell,Spin
8,ALL,Mitchell Santner,NZ,MJ Santner,Spin
6,BOWL,Nathan Smith,NZ,NG Smith,Pace
8,BAT,Rachin Ravindra,NZ,R Ravindra,
7.5,WK,Tom Latham,NZ,TWM Latham,
7,BAT,Will Young,NZ,WA Young,
7,BOWL,William O'Rourke,NZ,W O'Rourke,Pace
7,BOWL,Abrar Ahmed,PAK,Abrar Ahmed,Spin
8,ALL,Agha Salman,PAK,Agha Salman,Spin
8.5,BAT,Babar Azam,PAK,Babar Azam,
6.5,ALL,Faheem Ashraf,PAK,Faheem Ashraf,Pace
8,BAT,Fakhar Zaman,PAK,Fakhar Zaman,
8,BOWL,Haris Rauf,PAK,Haris Rauf,Pace
6.5,BAT,Kamran Ghulam,PAK,Kamran Ghulam,
6.5,ALL,Khushdil Shah,PAK,Khushdil Shah,Spin
7,BOWL,Mohammad Hasnain,PAK,Mohammad Hasnain,Pace
8.5,WK,Mohammad Rizwan,PAK,Mohammad Rizwan,
7.5,BOWL,Naseem Shah,PAK,Naseem Shah,Pace
7,BAT,Saud Shakeel,PAK,Saud Shakeel,
9,BOWL,Shaheen Afridi,PAK,Shaheen Shah Afridi,Pace
6.5,BAT,Tayyab Tahir,PAK,Tayyab Tahir,
6,WK,Usman Khan,PAK,,
8,ALL,Aiden Markram,SA,AK Markram,Spin
6.5,ALL,Corbin Bosch,SA,C Bosch,Pace
7.5,BAT,David Miller,SA,DA Miller,
9,WK,Heinrich Klaasen,SA,H Klaasen,
9,BOWL,Kagiso Rabada,SA,K Rabada,Pace
8,BOWL,Keshav Maharaj,SA,KA Maharaj,Spin
7,BOWL,Lungi Ngidi,SA,L Ngidi,Pace
8.5,ALL,Marco Jansen,SA,M Jansen,Pace
8,BAT,Rassie van der-Dussen,SA,HE van der Dussen,
7,WK,Ryan Rickelton,SA,RD Rickelton,
6.5,BOWL,Tabraiz Shamsi,SA,T Shamsi,Spin
8,BAT,Temba Bavuma,SA,T Bavuma,
6.5,BAT,Tony de Zorzi,SA,T de Zorzi,
7.5,BAT,Tristan Stubbs,SA,T Stubbs,
7,ALL,Wiaan Mulder,SA,PWA Mulder,Pace
